STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,MEASURE,,EDUCATION_LEV,,EXP_SOURCE,,EXP_DESTINATION,,EXPENDITURE_TYPE,,PRICE_BASE,,UNIT_MEASURE,,Q_SHEET,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,UNIT_MULT,,DECIMALS,,BASE_PER,,Q_SHEET_ROW_ID,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(3.0),,I,DEU,,FIN_PERSTUD,,ISCED11_6T8,,_T,,INST_EDU,,DIR_EXP,,_Z,,PT_B1GQ_POP,,_Z,,2021,,35.5101032112594,,A,,0,,0,,,,_Z,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(3.0),,I,POL,,FIN_PERSTUD,,ISCED11_5T8,,_T,,INST_EDU,,DIR_EXP,,_Z,,PT_B1GQ_POP,,_Z,,2021,,40.2374588954216,,A,,0,,0,,,,_Z,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(3.0),,I,ISR,,FIN_PERSTUD,,ISCED11_5T8,,_T,,INST_EDU,,DIR_EXP,,V,,USD_PPP_ST,,_Z,,2021,,12238.8607279761,,A,,0,,0,,,,_Z,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(3.0),,I,BGR,,FIN_PERSTUD,,ISCED11_1T8,,_T,,INST_EDU,,DIR_EXP,,V,,USD_PPP_ST,,_Z,,2021,,8018.27768140689,,A,,0,,0,,,,_Z,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(3.0),,I,AUS,,FIN_PERSTUD,,ISCED11_1,,_T,,INST_EDU,,DIR_EXP,,_Z,,PT_B1GQ_POP,,_Z,,2021,,20.064551568958,,A,,0,,0,,,,_Z,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(3.0),,I,BEL,,FIN_PERSTUD,,ISCED11_6T8,,_T,,INST_EDU,,DIR_EXP,,_Z,,PT_B1GQ_POP,,_Z,,2021,,37.5324315513736,,A,,0,,0,,,,_Z,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(3.0),,I,HUN,,FIN_PERSTUD,,ISCED11_3,,_T,,INST_EDU,,DIR_EXP,,_Z,,PT_B1GQ_POP,,_Z,,2021,,21.8780688345222,,A,,0,,0,,,,_Z,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(3.0),,I,MEX,,FIN_PERSTUD,,ISCED11_35,,_T,,INST_EDU,,DIR_EXP,,V,,USD_PPP_ST,,_Z,,2021,,4617.6549970722,,A,,0,,0,,,,_Z,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(3.0),,I,FRA,,FIN_PERSTUD,,ISCED11_1T8,,_T,,INST_EDU,,DIR_EXP,,V,,USD_PPP_ST,,_Z,,2021,,14802.5141557983,,A,,0,,0,,,,_Z,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(3.0),,I,EST,,FIN_PERSTUD,,ISCED11_6T8,,_T,,INST_EDU,,DIR_EXP,,V,,USD_PPP_ST,,_Z,,2021,,18967.2035148083,,A,,0,,0,,,,_Z,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(3.0),,I,EST,,FIN_PERSTUD,,ISCED11_34,,_T,,INST_EDU,,DIR_EXP,,V,,USD_PPP_ST,,_Z,,2021,,5709.86884242829,,A,,0,,0,,,,_Z,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(3.0),,I,NLD,,FIN_PERSTUD,,ISCED11_3,,_T,,INST_EDU,,DIR_EXP,,V,,USD_PPP_ST,,_Z,,2021,,18159.0447648207,,A,,0,,0,,,,_Z,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(3.0),,I,CZE,,FIN_PERSTUD,,ISCED11_4,,_T,,INST_EDU,,DIR_EXP,,V,,USD_PPP_ST,,_Z,,2021,,2341.65691274404,,A,,0,,0,,,,_Z,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(3.0),,I,DNK,,FIN_PERSTUD,,ISCED11_35,,_T,,INST_EDU,,DIR_EXP,,V,,USD_PPP_ST,,_Z,,2021,,17142.6636842721,,A,,0,,0,,,,_Z,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(3.0),,I,LUX,,FIN_PERSTUD,,ISCED11_1T8,,_T,,INST_EDU,,DIR_EXP,,_Z,,PT_B1GQ_POP,,_Z,,2021,,21.8641243973286,,A,,0,,0,,,,_Z,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(3.0),,I,DEU,,FIN_PERSTUD,,ISCED11_6T8,,_T,,INST_EDU,,DIR_EXP,,V,,USD_PPP_ST,,_Z,,2021,,21994.8548276812,,A,,0,,0,,,,_Z,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(3.0),,I,LVA,,FIN_PERSTUD,,ISCED11_5,,_T,,INST_EDU,,DIR_EXP,,V,,USD_PPP_ST,,_Z,,2021,,12949.9990095407,,A,,0,,0,,,,_Z,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(3.0),,I,SVN,,FIN_PERSTUD,,ISCED11_5T8,,_T,,INST_EDU,,DIR_EXP,,V,,USD_PPP_ST,,_Z,,2021,,18532.6094652336,,A,,0,,0,,,,_Z,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(3.0),,I,LVA,,FIN_PERSTUD,,ISCED11_5T8,,_T,,INST_EDU,,DIR_EXP,,_Z,,PT_B1GQ_POP,,_Z,,2021,,36.9259811683781,,A,,0,,0,,,,_Z,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(3.0),,I,AUS,,FIN_PERSTUD,,ISCED11_1,,_T,,INST_EDU,,DIR_EXP,,V,,USD_PPP_ST,,_Z,,2021,,12190.6122168149,,A,,0,,0,,,,_Z,
